索引番号,食品名,エネルギー,たんぱく質,脂質,炭水化物,食塩相当量
222,＜いも類＞（さつまいも類）さつまいも塊根皮なし焼き,151,1.4,0.2,39,0
223,＜いも類＞（さつまいも類）さつまいも蒸し切干,277,3.1,0.6,71.9,0
224,＜いも類＞（さつまいも類）むらさきいも塊根皮なし生,123,1.2,0.3,31.7,0.1
225,＜いも類＞（さつまいも類）むらさきいも塊根皮なし蒸し,122,1.2,0.3,31.4,0.1
226,＜いも類＞（さといも類）さといも球茎生,53,1.5,0.1,13.1,0
227,＜いも類＞（さといも類）さといも球茎水煮,52,1.5,0.1,13.4,0
228,＜いも類＞（さといも類）さといも球茎冷凍,69,2.2,0.1,16.1,0
229,＜いも類＞（さといも類）セレベス球茎生,80,2.2,0.3,19.8,0
230,＜いも類＞（さといも類）セレベス球茎水煮,77,2.1,0.3,19.1,0
231,＜いも類＞（さといも類）たけのこいも球茎生,97,1.7,0.4,23.5,0
232,＜いも類＞（さといも類）たけのこいも球茎水煮,86,1.6,0.4,21.8,0
233,＜いも類＞（さといも類）みずいも球茎生,111,0.7,0.4,27.6,0
234,＜いも類＞（さといも類）みずいも球茎水煮,101,0.7,0.4,26.1,0
235,＜いも類＞（さといも類）やつがしら球茎生,94,3,0.7,20.5,0
236,＜いも類＞（さといも類）やつがしら球茎水煮,92,2.7,0.6,20,0
237,＜いも類＞じゃがいも塊茎皮つき生,51,1.8,0.1,15.9,0
238,＜いも類＞じゃがいも塊茎皮つき電子レンジ調理,78,2.1,0.2,19.2,0
239,＜いも類＞じゃがいも塊茎皮つきフライドポテト（生を揚げたもの）,153,2.7,5.6,25.4,0
240,＜いも類＞じゃがいも塊茎皮なし生,59,1.8,0.1,17.3,0
241,＜いも類＞じゃがいも塊茎皮なし水煮,71,1.7,0.1,16.9,0
242,＜いも類＞じゃがいも塊茎皮なし蒸し,76,1.9,0.3,18.1,0
243,＜いも類＞じゃがいも塊茎皮なし電子レンジ調理,78,1.9,0.1,19,0
244,＜いも類＞じゃがいも塊茎皮なしフライドポテト（生を揚げたもの）,159,2.7,5.9,26.2,0
245,＜いも類＞じゃがいも塊茎皮なしフライドポテト（市販冷凍食品を揚げたもの）,229,2.9,10.6,32.4,0
246,＜いも類＞じゃがいも乾燥マッシュポテト,347,6.6,0.6,82.8,0.2
247,＜いも類＞ヤーコン塊根生,52,0.6,0.3,12.4,0
248,＜いも類＞ヤーコン塊根水煮,42,0.6,0.3,9.9,0
249,＜いも類＞（やまのいも類）ながいもいちょういも塊根生,108,4.5,0.5,22.6,0
250,＜いも類＞（やまのいも類）ながいもながいも塊根生,64,2.2,0.3,13.9,0
251,＜いも類＞（やまのいも類）ながいもながいも塊根水煮,58,2,0.3,12.6,0
252,＜いも類＞（やまのいも類）ながいもやまといも塊根生,119,4.5,0.2,27.1,0
253,＜いも類＞（やまのいも類）じねんじょ塊根生,118,2.8,0.7,26.7,0
